t_uid,mr_id,tstamp,anomalous,expected,max,min,value
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 01:05:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54199.933333333334
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 01:10:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54072.73333333333
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 01:15:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55513
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 01:20:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55251.199999999997
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 01:25:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,56555.73333333333
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 01:30:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55394.357142857145
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 01:35:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54147.571428571428
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 01:40:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,55443
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 01:45:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54625.400000000001
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 01:50:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,55562.26666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 01:55:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54306
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 02:00:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,55462.400000000001
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 02:05:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55278.133333333331
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 02:10:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55335.599999999999
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 02:15:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55760.73333333333
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 02:20:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55176.599999999999
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 02:25:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,56188
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 02:30:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55324.5
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 02:35:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,54843.866666666669
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 02:40:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,54819.26666666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 02:45:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55812.73333333333
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 02:50:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,53585.066666666666
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 02:55:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,56110
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 03:00:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,54937.066666666666
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 03:05:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,54189.066666666666
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 03:10:00.000+0000,False,54684.112037308441,62268.531504505139,47118.309442957652,55754.692307692305
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 03:15:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,53782.199999999997
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 03:20:00.000+0000,False,54684.112013474136,62268.531504505139,47118.309442957652,53684.933333333334
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,48fddfac-009b-3cfe-a8d5-9ea76c0e3c4f,2022-06-25 03:25:00.000+0000,False,54684.192503275139,62268.531504505139,47118.309442957652,55453.599999999999
